date,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Total
2014-01-31,127.69,99.09,152.1,878.03,354.0,30.0,112.0,48.2,1801.11
2014-02-28,133.32,126.05,177.0,1001.9,347.0,31.0,122.0,36.2,1974.47
2014-03-31,137.44,92.95,147.655,779.275,232.0,20.0,112.0,85.4,1606.72
2014-04-30,113.1,89.475,125.15,698.5,209.0,18.0,97.0,73.7,1423.925
2014-05-31,101.78999999999999,119.93299999999999,132.1,628.78,270.0,23.0,107.0,123.7,1506.303
2014-06-30,112.07,94.71,122.9,548.225,323.0,23.0,57.0,109.3,1390.205
2014-07-31,117.06,95.00999999999999,129.3,491.9,348.0,21.0,61.0,69.1,1332.37
2014-08-31,124.78999999999999,99.78,123.8,547.35,420.0,29.0,37.0,70.8,1452.52
2014-09-30,108.78,109.094,112.1,887.8199999999999,399.0,14.0,115.0,58.8,1804.594
2014-10-31,101.195,108.7513125,140.5375,1073.136875,432.0625,19.625,160.0,46.6875,2081.9956875000003
2014-11-30,138.08,100.86,142.7,723.8,489.0,19.0,112.0,45.2,1770.6399999999999
2014-12-31,131.9,121.401,111.124,1015.66,492.0,25.0,163.0,33.4,2093.485
2015-01-31,135.91,130.349,141.0,1044.24,463.0,24.0,177.25,42.0,2157.749
2015-02-28,115.71,123.74,131.83,953.2520000000001,243.0,9.0,208.0,47.0,1831.5320000000002
2015-03-31,156.04,129.386,133.8,1084.85,208.0,13.0,170.0,54.0,1949.076
2015-04-30,154.5,101.115,122.10000000000001,940.17,192.0,5.0,97.0,112.0,1723.885
2015-05-31,160.02,119.117,136.04,765.9,194.0,10.0,100.0,159.5,1644.577
2015-06-30,151.87,113.69,145.46,715.413,217.0,12.0,193.0,125.8,1674.233
2015-07-31,175.60999999999999,113.81,125.5,708.828,203.0,6.0,60.0,130.3,1523.048
2015-08-31,181.69,144.519,133.4,790.788,265.5,15.0,45.0,83.7,1659.597
2015-09-30,166.22,134.122,110.4,852.125,243.5,11.0,91.0,71.0,1679.367
2015-10-31,195.81,127.231,146.2,1574.335,222.0,8.0,184.0,72.0,2529.576
2015-11-30,142.78,128.233,145.9,1234.975,228.0,18.0,165.0,44.0,2106.888
2015-12-31,159.46,131.291,137.0,1258.349,286.0,28.0,231.0,41.73,2272.83
